Site,ENSO_Phase,Month_Name,Avg_Monthly_New_SWE,SD_Monthly_New_SWE,N_Years
Paradise,Strong La Niña,Apr,8.166666666666666,2.538372181799448,3
Paradise,Strong La Niña,Dec,22.099999999999998,10.409610943738485,3
Paradise,Strong La Niña,Feb,15.000000000000007,6.322183167229497,3
Paradise,Strong La Niña,Jan,20.833333333333336,0.4163331998932299,3
Paradise,Strong La Niña,Mar,20.26666666666666,5.8756559917453846,3
Paradise,Strong La Niña,Nov,13.533333333333333,7.1178180177167585,3
Paradise,Moderate La Niña,Apr,12.375000000000007,6.51223208022154,4
Paradise,Moderate La Niña,Dec,20.475,4.77659223017135,4
Paradise,Moderate La Niña,Feb,20.099999999999994,9.756365443476717,4
Paradise,Moderate La Niña,Jan,13.824999999999998,7.255055708492758,4
Paradise,Moderate La Niña,Mar,16.625,5.189332005823738,4
Paradise,Moderate La Niña,Nov,15.650000000000002,4.334743360338649,4
Paradise,Weak La Niña,Apr,12.299999999999999,2.257825896250147,10
Paradise,Weak La Niña,Dec,15.77,4.516648216444483,10
Paradise,Weak La Niña,Feb,11.700000000000001,4.630334761116092,10
Paradise,Weak La Niña,Jan,16.450000000000003,6.903340576207372,10
Paradise,Weak La Niña,Mar,13.709999999999999,4.841820135261348,10
Paradise,Weak La Niña,Nov,13.1,5.065789397736766,10
Paradise,Neutral,Apr,11.883333333333331,3.4361271363221806,12
Paradise,Neutral,Dec,16.875,8.86506165696653,12
Paradise,Neutral,Feb,14.833333333333336,5.929177979716203,12
Paradise,Neutral,Jan,17.25,6.883379191277281,12
Paradise,Neutral,Mar,15.999999999999996,6.740245477051195,12
Paradise,Neutral,Nov,11.333333333333334,3.644755468374034,12
Paradise,Weak El Niño,Apr,6.999999999999998,2.28723163921553,8
Paradise,Weak El Niño,Dec,14.024999999999999,5.188930525647842,8
Paradise,Weak El Niño,Feb,13.450000000000001,7.864386271577169,8
Paradise,Weak El Niño,Jan,14.599999999999998,9.578249168969093,8
Paradise,Weak El Niño,Mar,12.5625,5.301734891254263,8
Paradise,Weak El Niño,Nov,10.5125,7.520911323959161,8
Paradise,Moderate El Niño,Apr,8.75,3.7476659402887,2
Paradise,Moderate El Niño,Dec,10.1,0.8485281374238566,2
Paradise,Moderate El Niño,Feb,8.549999999999997,0.7778174593051983,2
Paradise,Moderate El Niño,Jan,12.100000000000003,0.8485281374238566,2
Paradise,Moderate El Niño,Mar,13.399999999999999,2.2627416997969543,2
Paradise,Moderate El Niño,Nov,15.8,0.8485281374238554,2
Paradise,Strong El Niño,Apr,5.425000000000008,0.9535023160258529,4
Paradise,Strong El Niño,Dec,16.525,7.018724955431721,4
Paradise,Strong El Niño,Feb,12.499999999999998,3.0594117081556713,4
Paradise,Strong El Niño,Jan,19.700000000000003,4.181706190858777,4
Paradise,Strong El Niño,Mar,10.774999999999999,7.063698275926944,4
Paradise,Strong El Niño,Nov,9.95,2.6950572040929544,4
Stampede Pass,Strong La Niña,Apr,4.73333333333333,3.153305144341932,3
Stampede Pass,Strong La Niña,Dec,12.133333333333333,7.605480480109939,3
Stampede Pass,Strong La Niña,Feb,11.066666666666668,7.207172353519336,3
Stampede Pass,Strong La Niña,Jan,16.999999999999996,3.536947836765483,3
Stampede Pass,Strong La Niña,Mar,8.800000000000002,1.3999999999999986,3
Stampede Pass,Strong La Niña,Nov,8.6,6.90724257573165,3
Stampede Pass,Moderate La Niña,Apr,6.600000000000001,2.1587033144922874,4
Stampede Pass,Moderate La Niña,Dec,12.325,4.249215613890794,4
Stampede Pass,Moderate La Niña,Feb,13.400000000000002,7.529054832226067,4
Stampede Pass,Moderate La Niña,Jan,8.450000000000003,4.597463068548423,4
Stampede Pass,Moderate La Niña,Mar,10.625000000000002,3.436446808356951,4
Stampede Pass,Moderate La Niña,Nov,8.15,2.686385427794505,4
Stampede Pass,Weak La Niña,Apr,5.399999999999999,2.1628170930011095,10
Stampede Pass,Weak La Niña,Dec,9.540000000000001,2.915933241119671,10
Stampede Pass,Weak La Niña,Feb,7.529999999999998,1.9510965577791817,10
Stampede Pass,Weak La Niña,Jan,9.84,5.778734963448123,10
Stampede Pass,Weak La Niña,Mar,7.6899999999999995,3.3517657038243778,10
Stampede Pass,Weak La Niña,Nov,7.35,3.4526157555620856,10
Stampede Pass,Neutral,Apr,4.272727272727276,3.257020389586444,11
Stampede Pass,Neutral,Dec,11.427272727272728,6.963920003717863,11
Stampede Pass,Neutral,Feb,10.254545454545456,6.19263492164097,11
Stampede Pass,Neutral,Jan,11.39090909090909,5.605792458779498,11
Stampede Pass,Neutral,Mar,9.527272727272726,4.753123375022135,11
Stampede Pass,Neutral,Nov,6.836363636363637,3.5528221816670555,11
Stampede Pass,Weak El Niño,Apr,2.350000000000002,0.9149551120917695,8
Stampede Pass,Weak El Niño,Dec,9.2875,3.58785152583389,8
Stampede Pass,Weak El Niño,Feb,7.550000000000002,4.12795348811006,8
Stampede Pass,Weak El Niño,Jan,9.0125,4.5736629584112185,8
Stampede Pass,Weak El Niño,Mar,5.687499999999997,4.187204147331317,8
Stampede Pass,Weak El Niño,Nov,6.512500000000001,6.79294539525066,8
Stampede Pass,Moderate El Niño,Apr,4.749999999999998,1.6263455967290648,2
Stampede Pass,Moderate El Niño,Dec,6.350000000000001,0.21213203435596414,2
Stampede Pass,Moderate El Niño,Feb,6.149999999999996,4.879036790187175,2
Stampede Pass,Moderate El Niño,Jan,7.3,0.9899494936611668,2
Stampede Pass,Moderate El Niño,Mar,6.200000000000003,2.4041630560342657,2
